model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-08-01T12:00:00+00:00,24,20,basin_to_05EA002,1.1050000190734863,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,20,lower_incremental_05EA005_to_05EA002,1.1050000190734863,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,20,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,21,basin_to_05EA002,2.7749998569488525,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,21,lower_incremental_05EA005_to_05EA002,2.7749998569488525,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,21,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,1,basin_to_05EA002,5.049999713897705,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,1,lower_incremental_05EA005_to_05EA002,5.049999713897705,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,1,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,2,basin_to_05EA002,5.964999675750732,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,2,lower_incremental_05EA005_to_05EA002,5.964999675750732,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,2,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,3,basin_to_05EA002,10.429999351501465,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,3,lower_incremental_05EA005_to_05EA002,10.429999351501465,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,3,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,4,basin_to_05EA002,6.309999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,4,lower_incremental_05EA005_to_05EA002,6.309999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,4,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,5,basin_to_05EA002,12.949999809265137,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,5,lower_incremental_05EA005_to_05EA002,12.949999809265137,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,5,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,6,basin_to_05EA002,10.179999351501465,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,6,lower_incremental_05EA005_to_05EA002,10.179999351501465,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,6,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,7,basin_to_05EA002,10.300000190734863,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,7,lower_incremental_05EA005_to_05EA002,10.300000190734863,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,7,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,8,basin_to_05EA002,8.649999618530273,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,8,lower_incremental_05EA005_to_05EA002,8.649999618530273,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,8,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,9,basin_to_05EA002,5.389999866485596,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,9,lower_incremental_05EA005_to_05EA002,5.389999866485596,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,9,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,10,basin_to_05EA002,12.639999389648438,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,10,lower_incremental_05EA005_to_05EA002,12.639999389648438,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,10,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,11,basin_to_05EA002,24.889999389648438,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,11,lower_incremental_05EA005_to_05EA002,24.889999389648438,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,11,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,12,basin_to_05EA002,11.514999389648438,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,12,lower_incremental_05EA005_to_05EA002,11.514999389648438,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,12,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
