date_utc,stage_m,discharge_m3s,stage_change_6h_m,stage_change_24h_m,q_change_6h_m3s,q_change_24h_m3s,stage_rate_m_per_day,q_rate_m3s_per_day,limb,season,year,rain_24h_mm,rain_24h_coverage,rain_24h_max6h_mm,rain_72h_mm,rain_72h_coverage,rain_72h_max6h_mm,rain_168h_mm,rain_168h_coverage,rain_168h_max6h_mm,complete_168h_coverage
2026-08-04 16:00:00+00:00,1.954,9.38,-0.0044999999999999485,-0.03950000000000009,-0.05499999999999794,-0.4449999999999985,-0.017999999999999794,-0.21999999999999176,falling,summer,2026,0.0,1.0,0.0,12.424422607732204,1.0,3.8011727843965804,18.34160223457591,1.0,5.901128436837878,True
2026-08-04 17:00:00+00:00,1.951,9.35,-0.006999999999999895,-0.04299999999999993,-0.08000000000000007,-0.4800000000000004,-0.02799999999999958,-0.3200000000000003,falling,summer,2026,0.0,1.0,0.0,12.424422607732204,1.0,3.8011727843965804,18.34160223457591,1.0,5.901128436837878,True
2026-08-04 18:00:00+00:00,1.954,9.38,-0.0030000000000001137,-0.038000000000000034,-0.03999999999999915,-0.4299999999999997,-0.012000000000000455,-0.1599999999999966,falling,summer,2026,6.78571398436491e-05,1.0,6.78571398436491e-05,12.424490464872047,1.0,3.8011727843965804,18.341670091715752,1.0,5.901128436837878,True
2026-08-04 20:00:00+00:00,1.953,9.37,-0.0020000000000000018,-0.030999999999999917,-0.030000000000001137,-0.3500000000000014,-0.008000000000000007,-0.12000000000000455,approximately_flat,summer,2026,6.78571398436491e-05,1.0,6.78571398436491e-05,12.424490464872047,1.0,3.8011727843965804,18.341670091715752,1.0,5.901128436837878,True
2026-08-04 21:00:00+00:00,1.949,9.33,-0.006000000000000005,-0.03600000000000003,-0.07000000000000028,-0.40000000000000036,-0.02400000000000002,-0.28000000000000114,falling,summer,2026,6.78571398436491e-05,1.0,6.78571398436491e-05,12.424490464872047,1.0,3.8011727843965804,18.341670091715752,1.0,5.901128436837878,True
2026-08-04 22:00:00+00:00,1.948,9.32,-0.006000000000000005,-0.03500000000000014,-0.0600000000000005,-0.39000000000000057,-0.02400000000000002,-0.240000000000002,falling,summer,2026,6.78571398436491e-05,1.0,6.78571398436491e-05,12.424490464872047,1.0,3.8011727843965804,18.341670091715752,1.0,5.901128436837878,True
2026-08-04 23:00:00+00:00,1.945,9.28,-0.006000000000000005,-0.03400000000000003,-0.07000000000000028,-0.3800000000000008,-0.02400000000000002,-0.28000000000000114,falling,summer,2026,6.78571398436491e-05,1.0,6.78571398436491e-05,12.424490464872047,1.0,3.8011727843965804,18.341670091715752,1.0,5.901128436837878,True
2026-08-05 00:00:00+00:00,1.9355,9.18,-0.01849999999999996,-0.03849999999999998,-0.20000000000000107,-0.4299999999999997,-0.07399999999999984,-0.8000000000000043,falling,summer,2026,0.03675357050157063,1.0,0.03668571336172698,12.460226178278734,1.0,3.8011727843965804,18.367527233918995,1.0,5.901128436837878,True
2026-08-05 01:00:00+00:00,1.9315,9.135000000000002,-0.023500000000000076,-0.04049999999999998,-0.2649999999999988,-0.4449999999999985,-0.0940000000000003,-1.0599999999999952,falling,summer,2026,0.03675357050157063,1.0,0.03668571336172698,12.460226178278734,1.0,3.8011727843965804,18.367527233918995,1.0,5.901128436837878,True
2026-08-05 02:00:00+00:00,1.9289999999999998,9.11,-0.024000000000000243,-0.04100000000000015,-0.2599999999999998,-0.45000000000000107,-0.09600000000000097,-1.0399999999999991,falling,summer,2026,0.03675357050157063,1.0,0.03668571336172698,12.460226178278734,1.0,3.8011727843965804,18.367527233918995,1.0,5.901128436837878,True
2026-08-05 03:00:00+00:00,1.931,9.13,-0.018000000000000016,-0.03699999999999992,-0.1999999999999993,-0.40999999999999837,-0.07200000000000006,-0.7999999999999972,falling,summer,2026,0.03675357050157063,1.0,0.03668571336172698,12.460226178278734,1.0,3.8011727843965804,18.367527233918995,1.0,5.901128436837878,True
2026-08-05 04:00:00+00:00,1.9344999999999999,9.165,-0.013500000000000068,-0.031500000000000083,-0.15500000000000114,-0.3550000000000004,-0.05400000000000027,-0.6200000000000045,falling,summer,2026,0.03675357050157063,1.0,0.03668571336172698,12.460226178278734,1.0,3.8011727843965804,18.367527233918995,1.0,5.901128436837878,True
2026-08-06 09:00:00+00:00,1.887,8.65,-0.008999999999999897,-0.047499999999999876,-0.09999999999999964,-0.5149999999999988,-0.03599999999999959,-0.3999999999999986,falling,summer,2026,0.3137964202711979,1.0,0.18822856658759216,5.895827248713302,1.0,5.545141543660845,18.324130808683723,1.0,5.545141543660845,True
2026-08-06 10:00:00+00:00,1.8855,8.635000000000002,-0.010499999999999954,-0.04150000000000009,-0.11499999999999844,-0.4549999999999983,-0.041999999999999815,-0.45999999999999375,falling,summer,2026,0.3137964202711979,1.0,0.18822856658759216,5.895827248713302,1.0,5.545141543660845,18.324130808683723,1.0,5.545141543660845,True
2026-08-06 11:00:00+00:00,1.885,8.63,-0.016000000000000014,-0.03950000000000009,-0.16999999999999993,-0.42499999999999893,-0.06400000000000006,-0.6799999999999997,falling,summer,2026,0.3137964202711979,1.0,0.18822856658759216,5.895827248713302,1.0,5.545141543660845,18.324130808683723,1.0,5.545141543660845,True
2026-08-06 12:00:00+00:00,1.88,8.58,-0.009500000000000064,-0.04200000000000004,-0.09999999999999964,-0.4499999999999993,-0.038000000000000256,-0.3999999999999986,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04847126029892,1.0,5.545141543660845,True
2026-08-06 14:00:00+00:00,1.88,8.58,-0.0030000000000001137,-0.037000000000000144,-0.02999999999999936,-0.40000000000000036,-0.012000000000000455,-0.11999999999999744,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04847126029892,1.0,5.545141543660845,True
2026-08-06 15:00:00+00:00,1.8745,8.524999999999999,-0.012499999999999956,-0.04149999999999987,-0.12500000000000178,-0.44500000000000206,-0.04999999999999982,-0.5000000000000071,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04847126029892,1.0,5.545141543660845,True
2026-08-06 16:00:00+00:00,1.872,8.49,-0.013499999999999845,-0.04399999999999982,-0.14500000000000135,-0.4800000000000004,-0.05399999999999938,-0.5800000000000054,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04847126029892,1.0,5.545141543660845,True
2026-08-06 17:00:00+00:00,1.871,8.48,-0.014000000000000012,-0.04400000000000004,-0.15000000000000036,-0.4800000000000004,-0.05600000000000005,-0.6000000000000014,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04847126029892,1.0,5.545141543660845,True
2026-08-06 18:00:00+00:00,1.869,8.46,-0.010999999999999899,-0.04499999999999993,-0.11999999999999922,-0.48999999999999844,-0.043999999999999595,-0.4799999999999969,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-06 19:00:00+00:00,1.87,8.47,-0.009999999999999787,-0.04449999999999976,-0.10999999999999943,-0.48499999999999943,-0.03999999999999915,-0.4399999999999977,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-06 20:00:00+00:00,1.867,8.44,-0.0129999999999999,-0.04600000000000004,-0.14000000000000057,-0.4900000000000002,-0.0519999999999996,-0.5600000000000023,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-06 21:00:00+00:00,1.862,8.39,-0.012499999999999956,-0.047499999999999876,-0.134999999999998,-0.504999999999999,-0.04999999999999982,-0.539999999999992,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-06 22:00:00+00:00,1.857,8.34,-0.015000000000000124,-0.04899999999999993,-0.15000000000000036,-0.5199999999999996,-0.0600000000000005,-0.6000000000000014,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-06 23:00:00+00:00,1.852,8.28,-0.018999999999999906,-0.05149999999999988,-0.20000000000000107,-0.5550000000000015,-0.07599999999999962,-0.8000000000000043,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-07 00:00:00+00:00,1.851,8.27,-0.018000000000000016,-0.05400000000000005,-0.19000000000000128,-0.5800000000000001,-0.07200000000000006,-0.7600000000000051,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 01:00:00+00:00,1.8475000000000001,8.235,-0.022499999999999964,-0.054999999999999716,-0.2350000000000012,-0.5899999999999999,-0.08999999999999986,-0.9400000000000048,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 02:00:00+00:00,1.846,8.22,-0.020999999999999908,-0.050999999999999934,-0.21999999999999886,-0.5399999999999991,-0.08399999999999963,-0.8799999999999955,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 03:00:00+00:00,1.846,8.22,-0.016000000000000014,-0.04999999999999982,-0.16999999999999993,-0.5299999999999994,-0.06400000000000006,-0.6799999999999997,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 04:00:00+00:00,1.846,8.22,-0.010999999999999899,-0.04999999999999982,-0.11999999999999922,-0.5299999999999994,-0.043999999999999595,-0.4799999999999969,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 05:00:00+00:00,1.8435000000000001,8.195,-0.008499999999999952,-0.057499999999999885,-0.08499999999999908,-0.6050000000000004,-0.03399999999999981,-0.3399999999999963,falling,summer,2026,0.8499083052988031,1.0,0.7243404516151973,6.6200319860488115,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 06:00:00+00:00,1.842,8.18,-0.008999999999999897,-0.047499999999999876,-0.08999999999999986,-0.5,-0.03599999999999959,-0.35999999999999943,falling,summer,2026,0.7243404516151973,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 07:00:00+00:00,1.841,8.17,-0.006500000000000172,-0.03849999999999998,-0.0649999999999995,-0.40499999999999936,-0.02600000000000069,-0.259999999999998,falling,summer,2026,0.7243404516151973,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 08:00:00+00:00,1.838,8.14,-0.008000000000000007,-0.04499999999999993,-0.08000000000000007,-0.46999999999999886,-0.03200000000000003,-0.3200000000000003,falling,summer,2026,0.7243404516151973,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 09:00:00+00:00,1.836,8.12,-0.010000000000000009,-0.050999999999999934,-0.10000000000000142,-0.5300000000000011,-0.040000000000000036,-0.4000000000000057,falling,summer,2026,0.7243404516151973,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 10:00:00+00:00,1.835,8.11,-0.01100000000000012,-0.05049999999999999,-0.11000000000000121,-0.5250000000000021,-0.04400000000000048,-0.44000000000000483,falling,summer,2026,0.7243404516151973,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 11:00:00+00:00,1.833,8.09,-0.010500000000000176,-0.052000000000000046,-0.10500000000000043,-0.5400000000000009,-0.0420000000000007,-0.4200000000000017,falling,summer,2026,0.7243404516151973,1.0,0.7243404516151973,6.620031986048812,1.0,5.545141543660845,19.04694983178412,1.0,5.545141543660845,True
2026-08-07 12:00:00+00:00,1.831,8.07,-0.01100000000000012,-0.04899999999999993,-0.10999999999999943,-0.5099999999999998,-0.04400000000000048,-0.4399999999999977,falling,summer,2026,0.0,1.0,0.0,6.6200319860488115,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
