model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-07-29T12:00:00+00:00,48,2,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,3,basin_to_05EA002,1.3899999856948853,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,3,lower_incremental_05EA005_to_05EA002,1.3899999856948853,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,3,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,4,basin_to_05EA002,7.309999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,4,lower_incremental_05EA005_to_05EA002,7.309999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,4,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,5,basin_to_05EA002,5.429999828338623,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,5,lower_incremental_05EA005_to_05EA002,5.429999828338623,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,5,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,6,basin_to_05EA002,0.42499998211860657,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
