CFIA,PR_mm,Shp_Area,Shp_Perime,Station,StationNam,Stn_UID,_source_file
0.899931066176471,0.000521368421113,287.073915676,89.9755621393,05EA012,ATIM CREEK AT CENTURY ROAD,05EA012_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070212_000_05.dbf
0.878953790567951,3.2741573189e-05,2590.88335366,360.639148567,05EA002,STURGEON RIVER AT ST. ALBERT,05EA002_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070218_000_05.dbf
0.872967907681941,2.0335195557e-05,1889.49091781,318.236156123,05EA005,STURGEON RIVER NEAR VILLENEUVE,05EA005_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070218_000_05.dbf
0.855823863636364,9.250000001e-06,121.243196585,50.3451448569,05EA010,STURGEON RIVER NEAR MAGNOLIA BRIDGE,05EA010_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070218_000_05.dbf
0.879603794642857,0.0,97.0690958164,57.1534836129,05EA011,CARROT CREEK NEAR THE MOUTH,05EA011_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070218_000_05.dbf
0.899988511029412,4.5046154292e-05,287.073915676,89.9755621393,05EA012,ATIM CREEK AT CENTURY ROAD,05EA012_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070218_000_05.dbf
0.879136029411765,0.01239692213305,2590.88335366,360.639148567,05EA002,STURGEON RIVER AT ST. ALBERT,05EA002_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070300_000_05.dbf
0.873199545148248,0.005931506003884,1889.49091781,318.236156123,05EA005,STURGEON RIVER NEAR VILLENEUVE,05EA005_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070300_000_05.dbf
0.85641571969697,0.0,121.243196585,50.3451448569,05EA010,STURGEON RIVER NEAR MAGNOLIA BRIDGE,05EA010_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070300_000_05.dbf
0.879743303571429,0.015084687662238,97.0690958164,57.1534836129,05EA011,CARROT CREEK NEAR THE MOUTH,05EA011_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070300_000_05.dbf
0.899988511029412,0.023162628064436,287.073915676,89.9755621393,05EA012,ATIM CREEK AT CENTURY ROAD,05EA012_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070300_000_05.dbf
0.879524277383367,0.011996109453786,2590.88335366,360.639148567,05EA002,STURGEON RIVER AT ST. ALBERT,05EA002_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070306_000_05.dbf
0.873704935983827,0.015259836684853,1889.49091781,318.236156123,05EA005,STURGEON RIVER NEAR VILLENEUVE,05EA005_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070306_000_05.dbf
0.85842803030303,0.046560704927234,121.243196585,50.3451448569,05EA010,STURGEON RIVER NEAR MAGNOLIA BRIDGE,05EA010_1,CMC_HRDPA_WATERSHED-006-0700cutoff_SFC_0_ps2.5km_2026070306_000_05.dbf
